model_name,elo_norm,avg_discarded,avg_preserved,gap,n_scenarios,demonstrated_empathy,warmth,social_dexterity,humanlike,analytical,depth_of_insight,pragmatic_ei,safety_conscious,moralising,compliant
google/gemini-2.5-pro-preview-03-25,1284.53,16.701923076923077,17.590313390313387,0.8883903133903104,26,17.76923076923077,15.23076923076923,16.53846153846154,17.26923076923077,18.46153846153846,17.155555555555555,17.153846153846153,15.807692307692308,6.846153846153846,12.961538461538462
Qwen/Qwen3-235B-A22B,1275.27,16.5,16.845014245014244,0.3450142450142444,26,17.307692307692307,15.615384615384615,16.076923076923077,17.0,17.5,16.68888888888889,16.346153846153847,15.615384615384615,8.846153846153847,13.538461538461538
deepseek/deepseek-r1,1270.06,16.48076923076923,17.584045584045583,1.1032763532763532,26,17.53846153846154,14.961538461538462,16.346153846153847,17.076923076923077,18.615384615384617,17.444444444444443,16.692307692307693,15.423076923076923,8.461538461538462,14.038461538461538
claude-sonnet-4,1260.84,15.903846153846153,17.063247863247863,1.1594017094017097,26,16.96153846153846,14.961538461538462,14.923076923076923,16.76923076923077,18.346153846153847,17.266666666666666,15.576923076923077,15.538461538461538,9.923076923076923,13.23076923076923
gemini-2.5-pro-preview-2025-05-07,1246.97,16.85576923076923,17.654985754985756,0.7992165242165257,26,17.96153846153846,15.576923076923077,16.46153846153846,17.423076923076923,18.653846153846153,17.31111111111111,17.0,15.26923076923077,7.461538461538462,13.846153846153847
openai/gpt-4.1,1234.79,16.326923076923077,17.064102564102566,0.737179487179489,26,17.115384615384617,15.423076923076923,15.846153846153847,16.923076923076923,18.0,17.0,16.192307692307693,15.384615384615385,7.846153846153846,13.192307692307692
qwen/qwq-32b,1214.06,16.134615384615387,17.18034188034188,1.0457264957264947,26,17.076923076923077,14.884615384615385,15.884615384615385,16.692307692307693,18.46153846153846,16.733333333333334,16.346153846153847,15.538461538461538,9.346153846153847,13.5
grok-4,1193.22,16.44,17.264242424242425,0.8242424242424242,25,17.6,15.84,15.92,16.4,18.32,17.272727272727273,16.2,15.2,8.04,14.8
deepseek/deepseek-chat-v3-0324,1170.36,13.89423076923077,15.787464387464388,1.8932336182336176,26,15.0,12.576923076923077,13.346153846153847,14.653846153846153,17.346153846153847,15.977777777777778,14.038461538461538,14.884615384615385,8.653846153846153,11.307692307692308
openai/gpt-oss-120b,1152.14,15.961538461538462,17.52193732193732,1.5603988603988572,26,16.884615384615383,14.76923076923077,15.692307692307692,16.5,18.807692307692307,17.488888888888887,16.26923076923077,16.115384615384617,7.730769230769231,13.653846153846153
openai/gpt-4.1-mini,1144.53,16.403846153846153,16.865242165242165,0.46139601139601183,26,17.26923076923077,15.76923076923077,16.0,16.576923076923077,17.76923076923077,16.711111111111112,16.115384615384617,15.307692307692308,7.615384615384615,14.076923076923077
mistralai/mistral-small-3.2-24b-instruct,1126.51,16.182692307692307,17.202564102564104,1.019871794871797,26,17.076923076923077,14.807692307692308,15.807692307692308,17.03846153846154,18.26923076923077,16.8,16.53846153846154,15.346153846153847,9.692307692307692,12.923076923076923
gpt-4.5-preview-2025-02-27,1092.72,15.846153846153847,16.86182336182336,1.015669515669515,26,16.846153846153847,15.153846153846153,15.23076923076923,16.153846153846153,17.96153846153846,16.77777777777778,15.846153846153847,14.76923076923077,8.346153846153847,14.23076923076923
anthropic/claude-3.7-sonnet,1082.74,15.73076923076923,16.82962962962963,1.098860398860399,26,16.423076923076923,14.692307692307692,15.0,16.807692307692307,18.23076923076923,16.488888888888887,15.76923076923077,15.346153846153847,8.846153846153847,12.73076923076923
anthropic/claude-3.5-sonnet,1067.71,15.057692307692308,16.31851851851852,1.2608262108262114,26,16.0,13.807692307692308,14.384615384615385,16.03846153846154,18.0,15.955555555555556,15.0,15.653846153846153,8.76923076923077,13.0
x-ai/grok-3-beta,1066.29,15.64423076923077,16.313105413105415,0.6688746438746449,26,16.307692307692307,15.307692307692308,14.76923076923077,16.192307692307693,17.76923076923077,15.977777777777778,15.192307692307692,15.846153846153847,8.038461538461538,13.615384615384615
google/gemini-2.5-flash-preview,1046.35,16.153846153846153,16.826495726495725,0.672649572649572,26,17.115384615384617,14.846153846153847,16.0,16.653846153846153,18.03846153846154,16.133333333333333,16.307692307692307,15.23076923076923,7.346153846153846,14.192307692307692
